GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	ASSIGNED BY	ANNOTATION EXTENSION	GO ASPECT
UniProtKB	A2A5Z6	Smurf2	enables	GO:0046332	SMAD binding	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN000135004|RGD:1310067|UniProtKB:Q9HAU4|UniProtKB:Q9HCE7	10090	GO_Central		F
UniProtKB	A2A5Z6	Smurf2	enables	GO:0046332	SMAD binding	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q9HAU4|ensembl:ENSP00000262435	10090	Ensembl		F
UniProtKB	A2A935	Prdm16	enables	GO:0046332	SMAD binding	ECO:0000353	IPI	PMID:17467076	PR:Q8BUN5	10090	MGI	occurs_in(EMAPA:16039),has_input(PR:Q8BUN5)	F
UniProtKB	A6HD62	Stub1	enables	GO:0046332	SMAD binding	ECO:0000266	ISO	GO_REF:0000096	UniProtKB:Q9UNE7	10116	RGD		F
UniProtKB	A6HD62	Stub1	enables	GO:0046332	SMAD binding	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q9UNE7|ensembl:ENSP00000219548	10116	Ensembl		F
UniProtKB	A6HD62	Stub1	enables	GO:0070412	R-SMAD binding	ECO:0000266	ISO	GO_REF:0000096	UniProtKB:Q9UNE7	10116	RGD		F
UniProtKB	A6HD62	Stub1	enables	GO:0070412	R-SMAD binding	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q9UNE7|ensembl:ENSP00000219548	10116	Ensembl		F
UniProtKB	A7M7C7	Skor2	enables	GO:0046332	SMAD binding	ECO:0000318	IBA	GO_REF:0000033	FB:FBgn0039932|FB:FBgn0085450|MGI:MGI:3645984|PANTHER:PTN000000299|UniProtKB:P12755|UniProtKB:P12757|UniProtKB:P84550|UniProtKB:Q2VWA4	10090	GO_Central		F
UniProtKB	A7M7C7	Skor2	enables	GO:0046332	SMAD binding	ECO:0000501	IEA	GO_REF:0000120	UniProtKB:Q2VWA4|ensembl:ENSP00000414750|InterPro:IPR014890	10090	UniProt		F
UniProtKB	A7M7C7	Skor2	enables	GO:0046332	SMAD binding	ECO:0000353	IPI	PMID:21937600	PR:P70340	10090	MGI	has_input(PR:P70340)	F
