GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	ASSIGNED BY	ANNOTATION EXTENSION	GO ASPECT
UniProtKB	A0A0G2JZ79	Sirt1	enables	GO:0002039	p53 binding	ECO:0000266	ISO	GO_REF:0000096	MGI:MGI:2135607	10116	RGD		F
UniProtKB	A0A0G2JZ79	Sirt1	enables	GO:0002039	p53 binding	ECO:0000266	ISO	GO_REF:0000096	UniProtKB:Q96EB6	10116	RGD		F
UniProtKB	B2RWS6	Ep300	enables	GO:0002039	p53 binding	ECO:0000353	IPI	PMID:17591690	PR:P02340	10090	MGI	has_input(PR:P02340)	F
UniProtKB	D4AE59	Stk11	enables	GO:0002039	p53 binding	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:Q15831	10116	UniProt		F
UniProtKB	D4AE59	Stk11	enables	GO:0002039	p53 binding	ECO:0000266	ISO	GO_REF:0000096	UniProtKB:Q15831	10116	RGD		F
UniProtKB	G3V7L5	Pou4f2	enables	GO:0002039	p53 binding	ECO:0000266	ISO	GO_REF:0000096	MGI:MGI:102524	10116	RGD		F
UniProtKB	G3V7L5	Pou4f2	enables	GO:0002039	p53 binding	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q63934|ensembl:ENSMUSP00000034115	10116	Ensembl		F
UniProtKB	O08653	Tep1	enables	GO:0002039	p53 binding	ECO:0000266	ISO	GO_REF:0000096	UniProtKB:Q99973	10116	RGD		F
UniProtKB	O09106	Hdac1	enables	GO:0002039	p53 binding	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q13547|ensembl:ENSP00000362649	10090	Ensembl		F
UniProtKB	O14744	PRMT5	enables	GO:0002039	p53 binding	ECO:0000353	IPI	PMID:19011621	UniProtKB:P04637	9606	UniProt		F
UniProtKB	O15164	TRIM24	enables	GO:0002039	p53 binding	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q64127|ensembl:ENSMUSP00000031859	9606	Ensembl		F
UniProtKB	O15164	TRIM24	enables	GO:0002039	p53 binding	ECO:0000353	IPI	PMID:19556538	UniProtKB:P04637	9606	UniProt		F
UniProtKB	O15169	AXIN1	enables	GO:0002039	p53 binding	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:O35625|ensembl:ENSMUSP00000073974	9606	Ensembl		F
UniProtKB	O15350	TP73	enables	GO:0002039	p53 binding	ECO:0000501	IEA	GO_REF:0000120	ARBA:ARBA00087974|UniProtKB:Q9JJP2|ensembl:ENSMUSP00000114418	9606	UniProt		F
UniProtKB	O15350	TP73	enables	GO:0002039	p53 binding	ECO:0000353	IPI	PMID:25417702	UniProtKB:P04637	9606	CAFA		F
UniProtKB	O35625	Axin1	enables	GO:0002039	p53 binding	ECO:0000353	IPI	PMID:15526030	PR:P02340	10090	MGI	has_input(PR:P02340)	F
UniProtKB	O35800	Hif1a	enables	GO:0002039	p53 binding	ECO:0000266	ISO	GO_REF:0000096	UniProtKB:Q16665	10116	RGD		F
UniProtKB	O43715	TRIAP1	enables	GO:0002039	p53 binding	ECO:0000353	IPI	PMID:15735003	UniProtKB:P04637	9606	BHF-UCL		F
UniProtKB	O54952	Brca1	enables	GO:0002039	p53 binding	ECO:0000266	ISO	GO_REF:0000096	UniProtKB:P38398	10116	RGD		F
UniProtKB	O54992	Mapkapk5	enables	GO:0002039	p53 binding	ECO:0000501	IEA	GO_REF:0000120	ARBA:ARBA00087974|UniProtKB:Q8IW41|ensembl:ENSP00000449667	10090	UniProt		F
UniProtKB	O54992	Mapkapk5	enables	GO:0002039	p53 binding	ECO:0000314	IDA	PMID:17254968		10090	UniProt		F
UniProtKB	O60285	NUAK1	enables	GO:0002039	p53 binding	ECO:0000353	IPI	PMID:21317932	UniProtKB:P04637	9606	UniProt		F
UniProtKB	O60341	KDM1A	enables	GO:0002039	p53 binding	ECO:0000353	IPI	PMID:17805299	UniProtKB:P04637	9606	BHF-UCL		F
UniProtKB	O60885	BRD4	enables	GO:0002039	p53 binding	ECO:0000314	IDA	PMID:23317504		9606	UniProt		F
UniProtKB	O70239	Axin1	enables	GO:0002039	p53 binding	ECO:0000266	ISO	GO_REF:0000096	MGI:MGI:1096327	10116	RGD		F
UniProtKB	O88665	Brd7	enables	GO:0002039	p53 binding	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:Q9NPI1	10090	UniProt		F
UniProtKB	O88665	Brd7	enables	GO:0002039	p53 binding	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q9NPI1|ensembl:ENSP00000378180	10090	Ensembl		F
UniProtKB	O88898	Tp63	enables	GO:0002039	p53 binding	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q9H3D4|ensembl:ENSP00000264731	10090	Ensembl		F
UniProtKB	P02340	Tp53	enables	GO:0002039	p53 binding	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P04637|ensembl:ENSP00000269305	10090	Ensembl		F
UniProtKB	P04637	TP53	enables	GO:0002039	p53 binding	ECO:0000353	IPI	PMID:25417702	UniProtKB:O15350	9606	CAFA		F
UniProtKB	P04637	TP53	enables	GO:0002039	p53 binding	ECO:0000353	IPI	PMID:25417702	UniProtKB:Q9H3D4	9606	CAFA		F
UniProtKB	P05197	Eef2	enables	GO:0002039	p53 binding	ECO:0000353	IPI	PMID:12891704	RGD:11440	10116	RGD		F
UniProtKB	P10361	Tp53	enables	GO:0002039	p53 binding	ECO:0000266	ISO	GO_REF:0000096	UniProtKB:P04637	10116	RGD		F
UniProtKB	P10809	HSPD1	enables	GO:0002039	p53 binding	ECO:0000353	IPI	PMID:18086682	UniProtKB:P04637	9606	UniProt		F
UniProtKB	P13084	Npm1	enables	GO:0002039	p53 binding	ECO:0000353	IPI	PMID:15872011	RGD:3889	10116	RGD		F
UniProtKB	P13297	Msx1	enables	GO:0002039	p53 binding	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P28360|ensembl:ENSP00000372170	10090	Ensembl		F
UniProtKB	P13639	EEF2	enables	GO:0002039	p53 binding	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P05197|ensembl:ENSRNOP00000041821	9606	Ensembl		F
UniProtKB	P15941	MUC1	enables	GO:0002039	p53 binding	ECO:0000353	IPI	PMID:15710329	UniProtKB:P04637	9606	BHF-UCL		F
UniProtKB	P15976	GATA1	enables	GO:0002039	p53 binding	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P17679|ensembl:ENSMUSP00000033502	9606	Ensembl		F
UniProtKB	P17679	Gata1	enables	GO:0002039	p53 binding	ECO:0000353	IPI	PMID:19411634	PR:P02340	10090	MGI	has_input(PR:P02340)	F
UniProtKB	P18266	Gsk3b	enables	GO:0002039	p53 binding	ECO:0000266	ISO	GO_REF:0000096	UniProtKB:P49841	10116	RGD		F
UniProtKB	P21675	TAF1	enables	GO:0002039	p53 binding	ECO:0000353	IPI	PMID:15053879	UniProtKB:P04637	9606	BHF-UCL		F
UniProtKB	P23804	Mdm2	enables	GO:0002039	p53 binding	ECO:0000501	IEA	GO_REF:0000120	ARBA:ARBA00087974|UniProtKB:A0A0G2JVC1|ensembl:ENSRNOP00000069425|UniProtKB:Q00987|ensembl:ENSP00000258149	10090	UniProt		F
UniProtKB	P23804	Mdm2	enables	GO:0002039	p53 binding	ECO:0000353	IPI	PMID:15678128	PR:P02340	10090	MGI	has_input(PR:P02340)	F
UniProtKB	P23804	Mdm2	enables	GO:0002039	p53 binding	ECO:0000353	IPI	PMID:17591690	PR:P02340	10090	MGI	has_input(PR:P02340)	F
UniProtKB	P23804	Mdm2	enables	GO:0002039	p53 binding	ECO:0000353	IPI	PMID:20818388	UniProtKB:P02340	10090	BHF-UCL		F
