GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	ASSIGNED BY	ANNOTATION EXTENSION	GO ASPECT
UniProtKB	P28360	MSX1	enables	GO:0002039	p53 binding	ECO:0000353	IPI	PMID:15705871	UniProtKB:P04637	9606	BHF-UCL		F
UniProtKB	P38398	BRCA1	enables	GO:0002039	p53 binding	ECO:0000314	IDA	PMID:15571721		9606	DisProt	has_input(UniProtKB:P04637)	F
UniProtKB	P42858	HTT	enables	GO:0002039	p53 binding	ECO:0000353	IPI	PMID:10823891	UniProtKB:P04637	9606	UniProt		F
UniProtKB	P43429	Gata1	enables	GO:0002039	p53 binding	ECO:0000266	ISO	GO_REF:0000096	MGI:MGI:95661	10116	RGD		F
UniProtKB	P43429	Gata1	enables	GO:0002039	p53 binding	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P17679|ensembl:ENSMUSP00000033502	10116	Ensembl		F
UniProtKB	P48754	Brca1	enables	GO:0002039	p53 binding	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P38398|ensembl:ENSP00000350283	10090	Ensembl		F
UniProtKB	P49615	Cdk5	enables	GO:0002039	p53 binding	ECO:0000353	IPI	PMID:17591690	PR:P02340	10090	MGI	has_input(PR:P02340)	F
UniProtKB	P49841	GSK3B	enables	GO:0002039	p53 binding	ECO:0000314	IDA	PMID:14744935		9606	MGI		F
UniProtKB	P51111	Htt	enables	GO:0002039	p53 binding	ECO:0000266	ISO	GO_REF:0000096	UniProtKB:P42858	10116	RGD		F
UniProtKB	P51532	SMARCA4	enables	GO:0002039	p53 binding	ECO:0000353	IPI	PMID:11950834	UniProtKB:P04637	9606	BHF-UCL		F
UniProtKB	P52479	Usp10	enables	GO:0002039	p53 binding	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:Q14694	10090	UniProt		F
UniProtKB	P52479	Usp10	enables	GO:0002039	p53 binding	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q14694|ensembl:ENSP00000219473	10090	Ensembl		F
UniProtKB	P53801	PTTG1IP	enables	GO:0002039	p53 binding	ECO:0000353	IPI	PMID:24506068	UniProtKB:P04637	9606	MGI		F
UniProtKB	P54132	BLM	enables	GO:0002039	p53 binding	ECO:0000353	IPI	PMID:11781842	UniProtKB:P04637	9606	UniProt		F
UniProtKB	P58252	Eef2	enables	GO:0002039	p53 binding	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P05197|ensembl:ENSRNOP00000041821	10090	Ensembl		F
UniProtKB	P60486	Dazap2	enables	GO:0002039	p53 binding	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:Q15038	10116	UniProt		F
UniProtKB	P60486	Dazap2	enables	GO:0002039	p53 binding	ECO:0000266	ISO	GO_REF:0000096	UniProtKB:Q15038	10116	RGD		F
UniProtKB	P60486	Dazap2	enables	GO:0002039	p53 binding	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q15038|ensembl:ENSP00000394699	10116	Ensembl		F
UniProtKB	P61289	PSME3	enables	GO:0002039	p53 binding	ECO:0000314	IDA	PMID:18309296		9606	UniProt		F
UniProtKB	P61290	Psme3	enables	GO:0002039	p53 binding	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:P61289	10090	UniProt		F
UniProtKB	P61290	Psme3	enables	GO:0002039	p53 binding	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P61289|ensembl:ENSP00000466794	10090	Ensembl		F
UniProtKB	P62961	Ybx1	enables	GO:0002039	p53 binding	ECO:0000315	IMP	PMID:16158057		10116	RGD		F
UniProtKB	P63038	Hspd1	enables	GO:0002039	p53 binding	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P10809|ensembl:ENSP00000373620	10090	Ensembl		F
UniProtKB	P63039	Hspd1	enables	GO:0002039	p53 binding	ECO:0000266	ISO	GO_REF:0000096	UniProtKB:P10809	10116	RGD		F
UniProtKB	P70399	Tp53bp1	enables	GO:0002039	p53 binding	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q12888|ensembl:ENSP00000371475	10090	Ensembl		F
UniProtKB	P83868	Ptges3	enables	GO:0002039	p53 binding	ECO:0000314	IDA	PMID:9488468		10116	RGD		F
UniProtKB	P97499	Tep1	enables	GO:0002039	p53 binding	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q99973|ensembl:ENSP00000262715	10090	Ensembl		F
UniProtKB	Q00535	CDK5	enables	GO:0002039	p53 binding	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P49615|ensembl:ENSMUSP00000030814	9606	Ensembl		F
UniProtKB	Q00987	MDM2	enables	GO:0002039	p53 binding	ECO:0000501	IEA	GO_REF:0000120	ARBA:ARBA00087974|UniProtKB:A0A0G2JVC1|ensembl:ENSRNOP00000069425|UniProtKB:P23804|ensembl:ENSMUSP00000020408	9606	UniProt		F
UniProtKB	Q00987	MDM2	enables	GO:0002039	p53 binding	ECO:0000353	IPI	PMID:15053879	UniProtKB:P04637	9606	BHF-UCL		F
UniProtKB	Q00987	MDM2	enables	GO:0002039	p53 binding	ECO:0000353	IPI	PMID:20173098	UniProtKB:P04637	9606	UniProt		F
UniProtKB	Q00987	MDM2	enables	GO:0002039	p53 binding	ECO:0000353	IPI	PMID:25417702	UniProtKB:O15350	9606	CAFA		F
UniProtKB	Q00987	MDM2	enables	GO:0002039	p53 binding	ECO:0000353	IPI	PMID:25417702	UniProtKB:Q9H3D4	9606	CAFA		F
UniProtKB	Q00987	MDM2	enables	GO:0002039	p53 binding	ECO:0000353	IPI	PMID:9529249	UniProtKB:P04637	9606	BHF-UCL		F
UniProtKB	Q03114	Cdk5	enables	GO:0002039	p53 binding	ECO:0000266	ISO	GO_REF:0000096	MGI:MGI:101765	10116	RGD		F
UniProtKB	Q03351	Ntrk3	enables	GO:0002039	p53 binding	ECO:0000266	ISO	GO_REF:0000096	UniProtKB:Q16288	10116	RGD		F
UniProtKB	Q03351	Ntrk3	enables	GO:0002039	p53 binding	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q16288|ensembl:ENSP00000485864	10116	Ensembl		F
UniProtKB	Q09472	EP300	enables	GO:0002039	p53 binding	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:B2RWS6|ensembl:ENSMUSP00000066789	9606	Ensembl		F
UniProtKB	Q09XV5	Chd8	enables	GO:0002039	p53 binding	ECO:0000256	IEA	GO_REF:0000104	UniRule:UR000369261	10090	UniProt		F
UniProtKB	Q09XV5	Chd8	enables	GO:0002039	p53 binding	ECO:0000353	IPI	PMID:19151705	UniProtKB:P04637	10090	UniProt		F
UniProtKB	Q12824	SMARCB1	enables	GO:0002039	p53 binding	ECO:0000353	IPI	PMID:11950834	UniProtKB:P04637	9606	BHF-UCL		F
UniProtKB	Q12837	POU4F2	enables	GO:0002039	p53 binding	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q63934|ensembl:ENSMUSP00000034115	9606	Ensembl		F
UniProtKB	Q12888	TP53BP1	enables	GO:0002039	p53 binding	ECO:0000353	IPI	PMID:14985081	UniProtKB:P04637	9606	AgBase		F
UniProtKB	Q12888	TP53BP1	enables	GO:0002039	p53 binding	ECO:0000353	IPI	PMID:17805299	UniProtKB:P04637	9606	BHF-UCL		F
UniProtKB	Q13547	HDAC1	enables	GO:0002039	p53 binding	ECO:0000353	IPI	PMID:23629966	UniProtKB:P04637	9606	CAFA		F
UniProtKB	Q13625	TP53BP2	enables	GO:0002039	p53 binding	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR047163	9606	InterPro		F
UniProtKB	Q13625	TP53BP2	enables	GO:0002039	p53 binding	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN001538228|UniProtKB:Q13625|WB:WBGene00000146	9606	GO_Central		F
UniProtKB	Q13625	TP53BP2	enables	GO:0002039	p53 binding	ECO:0000353	IPI	PMID:14985081	UniProtKB:P04637	9606	AgBase		F
UniProtKB	Q14134	TRIM29	enables	GO:0002039	p53 binding	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q8R2Q0|ensembl:ENSMUSP00000034511	9606	Ensembl		F
UniProtKB	Q14694	USP10	enables	GO:0002039	p53 binding	ECO:0000353	IPI	PMID:20096447	UniProtKB:P04637	9606	UniProt		F
UniProtKB	Q15038	DAZAP2	enables	GO:0002039	p53 binding	ECO:0000353	IPI	PMID:33591310	UniProtKB:P04637	9606	UniProt		F
UniProtKB	Q15327	ANKRD1	enables	GO:0002039	p53 binding	ECO:0000353	IPI	PMID:20599664	UniProtKB:P02340	9606	BHF-UCL		F
UniProtKB	Q15831	STK11	enables	GO:0002039	p53 binding	ECO:0000314	IDA	PMID:11430832		9606	UniProt		F
UniProtKB	Q16288	NTRK3	enables	GO:0002039	p53 binding	ECO:0000353	IPI	PMID:23027130	UniProtKB:P04637	9606	BHF-UCL		F
UniProtKB	Q16594	TAF9	enables	GO:0002039	p53 binding	ECO:0000353	IPI	PMID:11278372	UniProtKB:P10361	9606	BHF-UCL		F
UniProtKB	Q16665	HIF1A	enables	GO:0002039	p53 binding	ECO:0000269	EXP	PMID:15629713		9606	DisProt	has_input(UniProtKB:P04637)	F
UniProtKB	Q16665	HIF1A	enables	GO:0002039	p53 binding	ECO:0000314	IDA	PMID:15629713		9606	DisProt	has_input(UniProtKB:P04637)	F
UniProtKB	Q16665	HIF1A	enables	GO:0002039	p53 binding	ECO:0000353	IPI	PMID:15629713	UniProtKB:P04637	9606	CAFA		F
UniProtKB	Q3KR59	Usp10	enables	GO:0002039	p53 binding	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:Q14694	10116	UniProt		F
UniProtKB	Q3KR59	Usp10	enables	GO:0002039	p53 binding	ECO:0000266	ISO	GO_REF:0000096	UniProtKB:Q14694	10116	RGD		F
UniProtKB	Q497B8	Kdm8	enables	GO:0002039	p53 binding	ECO:0000266	ISO	GO_REF:0000096	MGI:MGI:1924285	10116	RGD		F
UniProtKB	Q4QQW4	Hdac1	enables	GO:0002039	p53 binding	ECO:0000266	ISO	GO_REF:0000096	UniProtKB:Q13547	10116	RGD		F
UniProtKB	Q4VSI4	Usp7	enables	GO:0002039	p53 binding	ECO:0000266	ISO	GO_REF:0000096	UniProtKB:Q93009	10116	RGD		F
UniProtKB	Q569K4	ZNF385B	enables	GO:0002039	p53 binding	ECO:0000353	IPI	PMID:22945289	UniProtKB:P04637	9606	UniProt		F
UniProtKB	Q5BKE0	Taf9	enables	GO:0002039	p53 binding	ECO:0000266	ISO	GO_REF:0000096	UniProtKB:Q16594	10116	RGD		F
UniProtKB	Q5DTM8	Rnf20	enables	GO:0002039	p53 binding	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q5VTR2|ensembl:ENSP00000373772	10090	Ensembl		F
UniProtKB	Q5DW34	Ehmt1	enables	GO:0002039	p53 binding	ECO:0000501	IEA	GO_REF:0000120	UniProtKB:Q9H9B1|ensembl:ENSP00000417980|InterPro:IPR038035|InterPro:IPR043550	10090	UniProt		F
UniProtKB	Q5FVI9	Dusp26	enables	GO:0002039	p53 binding	ECO:0000266	ISO	GO_REF:0000096	UniProtKB:Q9BV47	10116	RGD		F
UniProtKB	Q5FVI9	Dusp26	enables	GO:0002039	p53 binding	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q9BV47|ensembl:ENSP00000256261	10116	Ensembl		F
UniProtKB	Q5HZG4	Taf3	enables	GO:0002039	p53 binding	ECO:0000318	IBA	GO_REF:0000033	FB:FBgn0026262|MGI:MGI:2388097|PANTHER:PTN002487511	10090	GO_Central		F
UniProtKB	Q5HZG4	Taf3	enables	GO:0002039	p53 binding	ECO:0000353	IPI	PMID:18549481	UniProtKB:P04637	10090	BHF-UCL		F
UniProtKB	Q5U2X0	Cdkn2aip	enables	GO:0002039	p53 binding	ECO:0000266	ISO	GO_REF:0000096	UniProtKB:Q9NXV6	10116	RGD		F
UniProtKB	Q5U2X0	Cdkn2aip	enables	GO:0002039	p53 binding	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q9NXV6|ensembl:ENSP00000427108	10116	Ensembl		F
UniProtKB	Q5VTR2	RNF20	enables	GO:0002039	p53 binding	ECO:0000314	IDA	PMID:16337599		9606	UniProt		F
UniProtKB	Q5VWG9	TAF3	enables	GO:0002039	p53 binding	ECO:0000318	IBA	GO_REF:0000033	FB:FBgn0026262|MGI:MGI:2388097|PANTHER:PTN002487511	9606	GO_Central		F
UniProtKB	Q5VWG9	TAF3	enables	GO:0002039	p53 binding	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q5HZG4|ensembl:ENSMUSP00000026888	9606	Ensembl		F
UniProtKB	Q60806	Plk3	enables	GO:0002039	p53 binding	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:Q9H4B4	10090	UniProt		F
UniProtKB	Q61221	Hif1a	enables	GO:0002039	p53 binding	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q16665|ensembl:ENSP00000338018	10090	Ensembl		F
UniProtKB	Q62415	Ppp1r13b	enables	GO:0002039	p53 binding	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR047163	10090	InterPro		F
UniProtKB	Q62415	Ppp1r13b	enables	GO:0002039	p53 binding	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN001538228|UniProtKB:Q13625|WB:WBGene00000146	10090	GO_Central		F
UniProtKB	Q63934	Pou4f2	enables	GO:0002039	p53 binding	ECO:0000353	IPI	PMID:17145718	UniProtKB:P04637	10090	ARUK-UCL		F
UniProtKB	Q64127	Trim24	enables	GO:0002039	p53 binding	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:O15164|ensembl:ENSP00000340507	10090	Ensembl		F
UniProtKB	Q64127	Trim24	enables	GO:0002039	p53 binding	ECO:0000353	IPI	PMID:19556538	UniProtKB:P02340	10090	UniProt		F
UniProtKB	Q641K5	Nuak1	enables	GO:0002039	p53 binding	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:O60285|ensembl:ENSP00000261402	10090	Ensembl		F
UniProtKB	Q6AYH3	Rnf34	enables	GO:0002039	p53 binding	ECO:0000266	ISO	GO_REF:0000096	UniProtKB:Q969K3	10116	RGD		F
UniProtKB	Q6JHU9	Crebbp	enables	GO:0002039	p53 binding	ECO:0000266	ISO	GO_REF:0000096	UniProtKB:Q92793	10116	RGD		F
UniProtKB	Q6P767	Pttg1ip	enables	GO:0002039	p53 binding	ECO:0000266	ISO	GO_REF:0000096	UniProtKB:P53801	10116	RGD		F
UniProtKB	Q6PCD5	RFWD3	enables	GO:0002039	p53 binding	ECO:0000353	IPI	PMID:20173098	UniProtKB:P04637	9606	UniProt		F
UniProtKB	Q6VNS1	Ntrk3	enables	GO:0002039	p53 binding	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q16288|ensembl:ENSP00000485864	10090	Ensembl		F
UniProtKB	Q6ZQM0	Rffl	enables	GO:0002039	p53 binding	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q8WZ73|ensembl:ENSP00000378096	10090	Ensembl		F
UniProtKB	Q7M6Z3	Smyd2	enables	GO:0002039	p53 binding	ECO:0000266	ISO	GO_REF:0000096	UniProtKB:Q9NRG4	10116	RGD		F
UniProtKB	Q7M6Z3	Smyd2	enables	GO:0002039	p53 binding	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q9NRG4|ensembl:ENSP00000355924	10116	Ensembl		F
UniProtKB	Q8BI72	Cdkn2aip	enables	GO:0002039	p53 binding	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q9NXV6|ensembl:ENSP00000427108	10090	Ensembl		F
UniProtKB	Q8BK35	Nop53	enables	GO:0002039	p53 binding	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q9NZM5|ensembl:ENSP00000246802	10090	Ensembl		F
UniProtKB	Q8CG79	Tp53bp2	enables	GO:0002039	p53 binding	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR047163	10090	InterPro		F
UniProtKB	Q8CG79	Tp53bp2	enables	GO:0002039	p53 binding	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN001538228|UniProtKB:Q13625|WB:WBGene00000146	10090	GO_Central		F
UniProtKB	Q8CIK8	Rfwd3	enables	GO:0002039	p53 binding	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:Q6PCD5	10090	UniProt		F
UniProtKB	Q8CIK8	Rfwd3	enables	GO:0002039	p53 binding	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q6PCD5|ensembl:ENSP00000354361	10090	Ensembl		F
UniProtKB	Q8CIN9	Rffl	enables	GO:0002039	p53 binding	ECO:0000266	ISO	GO_REF:0000096	UniProtKB:Q8WZ73	10116	RGD		F
UniProtKB	Q8IW41	MAPKAPK5	enables	GO:0002039	p53 binding	ECO:0000501	IEA	GO_REF:0000120	ARBA:ARBA00087974|UniProtKB:O54992|ensembl:ENSMUSP00000031410	9606	UniProt		F
UniProtKB	Q8IW41	MAPKAPK5	enables	GO:0002039	p53 binding	ECO:0000314	IDA	PMID:17254968		9606	UniProt		F
UniProtKB	Q8K1P7	Smarca4	enables	GO:0002039	p53 binding	ECO:0000266	ISO	GO_REF:0000096	UniProtKB:P51532	10116	RGD		F
UniProtKB	Q8N371	KDM8	enables	GO:0002039	p53 binding	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q9CXT6|ensembl:ENSMUSP00000033010	9606	Ensembl		F
UniProtKB	Q8R143	Pttg1ip	enables	GO:0002039	p53 binding	ECO:0000266	ISO	GO_REF:0000008	UniProtKB:P53801	10090	MGI		F
UniProtKB	Q8R2Q0	Trim29	enables	GO:0002039	p53 binding	ECO:0000314	IDA	PMID:20368352		10090	MGI		F
UniProtKB	Q8R560	Ankrd1	enables	GO:0002039	p53 binding	ECO:0000266	ISO	GO_REF:0000096	UniProtKB:Q15327	10116	RGD		F
UniProtKB	Q8R560	Ankrd1	enables	GO:0002039	p53 binding	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q15327|ensembl:ENSP00000360762	10116	Ensembl		F
UniProtKB	Q8R5A0	Smyd2	enables	GO:0002039	p53 binding	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q9NRG4|ensembl:ENSP00000355924	10090	Ensembl		F
UniProtKB	Q8VCM5	Mul1	enables	GO:0002039	p53 binding	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:Q969V5	10090	UniProt		F
UniProtKB	Q8VCM5	Mul1	enables	GO:0002039	p53 binding	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q969V5|ensembl:ENSP00000264198	10090	Ensembl		F
UniProtKB	Q8VD12	Znf385a	enables	GO:0002039	p53 binding	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q96PM9|ensembl:ENSP00000377849	10090	Ensembl		F
UniProtKB	Q8VHL1	Setd7	enables	GO:0002039	p53 binding	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q8WTS6|ensembl:ENSP00000274031	10090	Ensembl		F
UniProtKB	Q8VIB2	Daxx	enables	GO:0002039	p53 binding	ECO:0000266	ISO	GO_REF:0000096	UniProtKB:Q9UER7	10116	RGD		F
UniProtKB	Q8WTS6	SETD7	enables	GO:0002039	p53 binding	ECO:0000353	IPI	PMID:17108971	UniProtKB:P04637	9606	UniProt		F
UniProtKB	Q8WZ73	RFFL	enables	GO:0002039	p53 binding	ECO:0000256	IEA	GO_REF:0000117	ARBA:ARBA00087974	9606	UniProt		F
UniProtKB	Q8WZ73	RFFL	enables	GO:0002039	p53 binding	ECO:0000353	IPI	PMID:17121812	UniProtKB:P04637	9606	UniProt		F
UniProtKB	Q8WZ73	RFFL	enables	GO:0002039	p53 binding	ECO:0000353	IPI	PMID:18382127	UniProtKB:P04637	9606	UniProt		F
