#: :filename=/home/mvazque2/.rbbt/tmp/tmp-337667186.1761_TFs#:type=:double
#Associated.Gene.Name	TF_type
GRHL1	dbTF
GRHL2	dbTF
GRHL3	dbTF
GSC	dbTF
GSC2	dbTF
GSX1	dbTF
GSX2	dbTF
GTF2I	dbTF
GTF2IRD1	dbTF
GTF2IRD2	dbTF
GTF2IRD2B	dbTF
GTF3A	dbTF
GZF1	dbTF
HAND1	dbTF
HAND2	dbTF
HBP1	dbTF
HDAC5	dbTF
HDGF	dbTF
HDX	dbTF
HELT	dbTF
HES1	dbTF
HES2	dbTF
HES3	dbTF
HES4	dbTF
HES5	dbTF
HES6	dbTF
HES7	dbTF
HESX1	dbTF
HEY1	dbTF
HEY2	dbTF
HEYL	dbTF
HHEX	dbTF
HIC1	dbTF
HIC2	dbTF
HIF1A	dbTF
HIF3A	dbTF
HINFP	dbTF
HIVEP1	dbTF
HIVEP2	dbTF
HIVEP3	dbTF
HLF	dbTF
HLX	dbTF
HMBOX1	dbTF
HMG20A	dbTF
HMG20B	dbTF
HMGA1	dbTF
HMGA2	dbTF
HMX1	dbTF
HMX2	dbTF
HMX3	dbTF
HNF1A	dbTF
HNF1B	dbTF
HNF4A	dbTF
HNF4G	dbTF
HOMEZ	dbTF
HOXA1	dbTF
HOXA10	dbTF
HOXA11	dbTF
HOXA13	dbTF
HOXA2	dbTF
HOXA3	dbTF
HOXA4	dbTF
HOXA5	dbTF
HOXA6	dbTF
HOXA7	dbTF
HOXA9	dbTF
HOXB1	dbTF
HOXB13	dbTF
HOXB2	dbTF
HOXB3	dbTF
HOXB4	dbTF
HOXB5	dbTF
HOXB6	dbTF
HOXB7	dbTF
HOXB8	dbTF
HOXB9	dbTF
HOXC10	dbTF
HOXC11	dbTF
HOXC12	dbTF
HOXC13	dbTF
HOXC4	dbTF
HOXC5	dbTF
HOXC6	dbTF
HOXC8	dbTF
HOXC9	dbTF
HOXD1	dbTF
HOXD10	dbTF
HOXD11	dbTF
HOXD12	dbTF
HOXD13	dbTF
HOXD3	dbTF
HOXD4	dbTF
HOXD8	dbTF
HOXD9	dbTF
HSF1	dbTF
HSF2	dbTF
Hsf3	dbTF
HSF4	dbTF
HSF5	dbTF
HSFX1	dbTF
HSFX3	dbTF
HSFX4	dbTF
HSFY1	dbTF
IKZF1	dbTF
IKZF2	dbTF
IKZF3	dbTF
IKZF4	dbTF
IKZF5	dbTF
ILF3	dbTF
INSM1	dbTF
INSM2	dbTF
IRF1	dbTF
IRF2	dbTF
IRF3	dbTF
IRF4	dbTF
IRF5	dbTF
IRF6	dbTF
IRF7	dbTF
IRF8	dbTF
IRF9	dbTF
IRX1	dbTF
IRX2	dbTF
IRX3	dbTF
IRX4	dbTF
IRX5	dbTF
IRX6	dbTF
ISL1	dbTF
ISL2	dbTF
ISX	dbTF
JDP2	dbTF
JPH2	dbTF
JUN	dbTF
JUNB	dbTF
JUND	dbTF
KAT7	dbTF
KCNIP3	dbTF
KDM2A	dbTF
KDM5B	dbTF
KLF1	dbTF
KLF10	dbTF
KLF11	dbTF
KLF12	dbTF
KLF13	dbTF
KLF14	dbTF
KLF15	dbTF
KLF16	dbTF
KLF17	dbTF
KLF18	dbTF
KLF2	dbTF
KLF3	dbTF
KLF4	dbTF
KLF5	dbTF
KLF6	dbTF
KLF7	dbTF
KLF8	dbTF
KLF9	dbTF
KMT2A	dbTF
KMT2B	dbTF
KMT2D	dbTF
L3MBTL1	dbTF
LBX1	dbTF
LBX2	dbTF
LEF1	dbTF
LEUTX	dbTF
LHX1	dbTF
LHX2	dbTF
LHX3	dbTF
LHX4	dbTF
LHX5	dbTF
LHX6	dbTF
LHX8	dbTF
LHX9	dbTF
LITAF	dbTF
LMX1A	dbTF
LMX1B	dbTF
LRRFIP1	dbTF
LYL1	dbTF
MAF	dbTF
MAFA	dbTF
MAFB	dbTF
MAFF	dbTF
MAFG	dbTF
MAFK	dbTF
MAX	dbTF
MAZ	dbTF
MBD1	dbTF
MECOM	dbTF
MECP2	dbTF
MEF2A	dbTF
MEF2B	dbTF
MEF2C	dbTF
MEF2D	dbTF
MEIS1	dbTF
MEIS2	dbTF
MEIS3	dbTF
MEIS3P1	dbTF
MEIS3P2	dbTF
MEN1	dbTF
MEOX1	dbTF
MEOX2	dbTF
MESP1	dbTF
MESP2	dbTF
MGA	dbTF
MITF	dbTF
MIXL1	dbTF
MKX	dbTF
MLX	dbTF
MLXIP	dbTF
MLXIPL	dbTF
MNT	dbTF
MNX1	dbTF
MRTFA	dbTF
MRTFB	dbTF
MSANTD1	dbTF
MSC	dbTF
MSGN1	dbTF
MSX1	dbTF
MSX2	dbTF
Msx3	dbTF
MTF1	dbTF
MTF2	dbTF
MXD1	dbTF
MXD3	dbTF
MXD4	dbTF
MXI1	dbTF
MYB	dbTF
MYBL1	dbTF
MYBL2	dbTF
MYC	dbTF
Mycb	dbTF
MYCL	dbTF
MYCLP1	dbTF
MYCN	dbTF
MYEF2	dbTF
MYF5	dbTF
MYF6	dbTF
MYNN	dbTF
MYOD1	dbTF
MYOG	dbTF
MYPOP	dbTF
MYRF	dbTF
MYRFL	dbTF
MYT1	dbTF
MYT1L	dbTF
MZF1	dbTF
NACC1	dbTF
NACC2	dbTF
NANOG	dbTF
NANOGNB	dbTF
NANOGP1	dbTF
NANOGP8	dbTF
NCOA1	dbTF
NCOA2	dbTF
NCOA3	dbTF
NDN	dbTF
NEUROD1	dbTF
NEUROD2	dbTF
NEUROD4	dbTF
NEUROD6	dbTF
NEUROG1	dbTF
NEUROG2	dbTF
NEUROG3	dbTF
NFAT5	dbTF
NFATC1	dbTF
NFATC2	dbTF
NFATC3	dbTF
NFATC4	dbTF
NFE2	dbTF
NFE2L1	dbTF
NFE2L2	dbTF
NFE2L3	dbTF
NFIA	dbTF
NFIB	dbTF
NFIC	dbTF
NFIL3	dbTF
NFILZ	dbTF
NFIX	dbTF
NFKB1	dbTF
NFKB2	dbTF
NFX1	dbTF
NFXL1	dbTF
NFYA	dbTF
NFYB	dbTF
NFYC	dbTF
NHLH1	dbTF
NHLH2	dbTF
NKRF	dbTF
NKX1-1	dbTF
NKX1-2	dbTF
NKX2-1	dbTF
NKX2-2	dbTF
NKX2-3	dbTF
NKX2-4	dbTF
NKX2-5	dbTF
NKX2-6	dbTF
NKX2-8	dbTF
NKX3-1	dbTF
NKX3-2	dbTF
NKX6-1	dbTF
NKX6-2	dbTF
NKX6-3	dbTF
NOBOX	dbTF
NOTCH1	dbTF
NOTCH2	dbTF
NOTCH4	dbTF
NOTO	dbTF
NPAS1	dbTF
NPAS2	dbTF
NPAS3	dbTF
NPAS4	dbTF
NR0B1	dbTF
NR1D1	dbTF
NR1D2	dbTF
NR1H2	dbTF
NR1H3	dbTF
NR1H4	dbTF
NR1I2	dbTF
NR1I3	dbTF
NR2C1	dbTF
NR2C2	dbTF
NR2E1	dbTF
NR2E3	dbTF
NR2F1	dbTF
NR2F2	dbTF
NR2F6	dbTF
NR3C1	dbTF
NR3C2	dbTF
NR4A1	dbTF
NR4A2	dbTF
NR4A3	dbTF
NR5A1	dbTF
NR5A2	dbTF
NR6A1	dbTF
NRF1	dbTF
NRL	dbTF
NTN1	dbTF
NTN3	dbTF
OLIG1	dbTF
OLIG2	dbTF
OLIG3	dbTF
ONECUT1	dbTF
ONECUT2	dbTF
ONECUT3	dbTF
OR51E2	dbTF
OSR1	dbTF
OSR2	dbTF
OTP	dbTF
OTX1	dbTF
OTX2	dbTF
OVOL1	dbTF
OVOL2	dbTF
OVOL3	dbTF
P2rx2	dbTF
PAQR7	dbTF
PAQR8	dbTF
PASD1	dbTF
PATZ1	dbTF
PAX1	dbTF
PAX2	dbTF
PAX3	dbTF
PAX4	dbTF
PAX5	dbTF
PAX6	dbTF
PAX7	dbTF
PAX8	dbTF
PAX9	dbTF
PBX1	dbTF
PBX2	dbTF
PBX3	dbTF
PBX4	dbTF
PCBP1	dbTF
PCBP3	dbTF
PDE3A	dbTF
PDX1	dbTF
PEG3	dbTF
PGBD1	dbTF
PGR	dbTF
PGRMC2	dbTF
PHOX2A	dbTF
PHOX2B	dbTF
PITX1	dbTF
PITX2	dbTF
PITX3	dbTF
PKNOX1	dbTF
PKNOX2	dbTF
PLAG1	dbTF
PLAGL1	dbTF
PLAGL2	dbTF
PLSCR1	dbTF
POU1F1	dbTF
POU2F1	dbTF
POU2F2	dbTF
POU2F3	dbTF
POU3F1	dbTF
POU3F2	dbTF
POU3F3	dbTF
POU3F4	dbTF
POU4F1	dbTF
POU4F2	dbTF
POU4F3	dbTF
POU5F1	dbTF
POU5F1B	dbTF
POU5F2	dbTF
POU6F1	dbTF
POU6F2	dbTF
PPARA	dbTF
PPARD	dbTF
PPARG	dbTF
PRDM1	dbTF
PRDM10	dbTF
PRDM13	dbTF
PRDM14	dbTF
PRDM15	dbTF
PRDM16	dbTF
PRDM2	dbTF
PRDM4	dbTF
PRDM5	dbTF
PRDM6	dbTF
PRDM8	dbTF
PRDM9	dbTF
PREB	dbTF
PROP1	dbTF
PROX1	dbTF
PROX2	dbTF
PRRX1	dbTF
PRRX2	dbTF
PTF1A	dbTF
PURA	dbTF
PURB	dbTF
PURG	dbTF
RARA	dbTF
RARB	dbTF
RARG	dbTF
RAX	dbTF
RAX2	dbTF
RBAK	dbTF
RBPJ	dbTF
RBPJL	dbTF
REL	dbTF
RELA	dbTF
RELB	dbTF
REST	dbTF
RFX1	dbTF
RFX2	dbTF
RFX3	dbTF
RFX4	dbTF
RFX5	dbTF
RFX6	dbTF
RFX7	dbTF
RFX8	dbTF
RFXANK	dbTF
RFXAP	dbTF
Rhox13	dbTF
Rhox5	dbTF
RHOXF1	dbTF
RHOXF2	dbTF
RHOXF2B	dbTF
RLF	dbTF
RORA	dbTF
RORB	dbTF
RORC	dbTF
Rpf2	dbTF
RREB1	dbTF
RUNX1	dbTF
RUNX2	dbTF
RUNX3	dbTF
RXRA	dbTF
RXRB	dbTF
RXRG	dbTF
SALL1	dbTF
SALL2	dbTF
SALL3	dbTF
SALL4	dbTF
SAMD11	dbTF
SAMD7	dbTF
SATB1	dbTF
SATB2	dbTF
SCAND2P	dbTF
SCRT1	dbTF
SCRT2	dbTF
SCX	dbTF
SEBOX	dbTF
SHOX	dbTF
SHOX2	dbTF
SIM1	dbTF
SIM2	dbTF
SIX1	dbTF
SIX2	dbTF
SIX3	dbTF
SIX4	dbTF
SIX5	dbTF
SIX6	dbTF
SKI	dbTF
SKIDA1	dbTF
SKIL	dbTF
SKOR1	dbTF
SKOR2	dbTF
SLC2A4RG	dbTF
SMAD1	dbTF
SMAD2	dbTF
SMAD3	dbTF
SMAD4	dbTF
SMAD5	dbTF
SMAD9	dbTF
SNAI1	dbTF
SNAI2	dbTF
SNAI3	dbTF
SNAPC4	dbTF
SOHLH1	dbTF
SOHLH2	dbTF
SOX1	dbTF
SOX10	dbTF
SOX11	dbTF
SOX12	dbTF
SOX13	dbTF
SOX14	dbTF
SOX15	dbTF
SOX17	dbTF
SOX18	dbTF
SOX2	dbTF
SOX21	dbTF
SOX3	dbTF
SOX30	dbTF
SOX4	dbTF
SOX5	dbTF
SOX6	dbTF
SOX7	dbTF
SOX8	dbTF
SOX9	dbTF
SP1	dbTF
SP100	dbTF
SP110	dbTF
SP140	dbTF
SP140L	dbTF
SP2	dbTF
SP3	dbTF
SP4	dbTF
SP5	dbTF
SP6	dbTF
SP7	dbTF
SP8	dbTF
SP9	dbTF
SPDEF	dbTF
SPEN	dbTF
SPI1	dbTF
SPIB	dbTF
SPIC	dbTF
SPZ1	dbTF
SREBF1	dbTF
SREBF2	dbTF
SRF	dbTF
SRY	dbTF
SS18L1	dbTF
ST18	dbTF
STAT1	dbTF
STAT2	dbTF
STAT3	dbTF
STAT4	dbTF
STAT5A	dbTF
STAT5B	dbTF
STAT6	dbTF
STOX1	dbTF
STOX2	dbTF
TAL1	dbTF
TAL2	dbTF
TBP	dbTF
TBPL1	dbTF
TBPL2	dbTF
TBR1	dbTF
TBX1	dbTF
TBX10	dbTF
TBX15	dbTF
TBX18	dbTF
TBX19	dbTF
TBX2	dbTF
TBX20	dbTF
TBX21	dbTF
TBX22	dbTF
TBX3	dbTF
TBX4	dbTF
TBX5	dbTF
TBX6	dbTF
TBXT	dbTF
TCERG1	dbTF
TCF12	dbTF
TCF15	dbTF
TCF20	dbTF
TCF21	dbTF
TCF23	dbTF
TCF24	dbTF
TCF3	dbTF
TCF4	dbTF
TCF7	dbTF
TCF7L1	dbTF
TCF7L2	dbTF
TCFL5	dbTF
TEAD1	dbTF
TEAD2	dbTF
TEAD3	dbTF
TEAD4	dbTF
TEF	dbTF
TET1	dbTF
TET3	dbTF
TFAP2A	dbTF
TFAP2B	dbTF
TFAP2C	dbTF
TFAP2D	dbTF
TFAP2E	dbTF
TFAP4	dbTF
TFCP2	dbTF
TFCP2L1	dbTF
TFDP1	dbTF
TFDP2	dbTF
TFDP3	dbTF
TFE3	dbTF
TFEB	dbTF
TFEC	dbTF
TGIF1	dbTF
TGIF2	dbTF
TGIF2LX	dbTF
TGIF2LY	dbTF
THAP1	dbTF
THAP10	dbTF
THAP11	dbTF
THAP12	dbTF
THAP2	dbTF
THAP3	dbTF
THAP4	dbTF
THAP5	dbTF
THAP6	dbTF
THAP7	dbTF
THAP8	dbTF
THAP9	dbTF
THRA	dbTF
THRB	dbTF
TLX1	dbTF
TLX2	dbTF
TLX3	dbTF
TP53	dbTF
TP63	dbTF
TP73	dbTF
TPRX1	dbTF
TPRX2	dbTF
TPRXL	dbTF
TRERF1	dbTF
TRPS1	dbTF
TSC22D1	dbTF
TSHZ1	dbTF
TSHZ2	dbTF
TSHZ3	dbTF
TSTD1	dbTF
TWIST1	dbTF
TWIST2	dbTF
UBP1	dbTF
UNCX	dbTF
USF1	dbTF
USF2	dbTF
USF3	dbTF
VAX1	dbTF
VAX2	dbTF
VDR	dbTF
VENTX	dbTF
VEZF1	dbTF
VSX1	dbTF
VSX2	dbTF
WIZ	dbTF
WT1	dbTF
XBP1	dbTF
YBX1	dbTF
YBX2	dbTF
YBX3	dbTF
YLPM1	dbTF
YY1	dbTF
YY2	dbTF
ZBED1	dbTF
ZBED2	dbTF
ZBED3	dbTF
ZBED4	dbTF
ZBED5	dbTF
ZBED6	dbTF
ZBTB1	dbTF
ZBTB10	dbTF
ZBTB11	dbTF
ZBTB12	dbTF
ZBTB14	dbTF
ZBTB16	dbTF
ZBTB17	dbTF
ZBTB18	dbTF
ZBTB2	dbTF
ZBTB20	dbTF
ZBTB21	dbTF
ZBTB22	dbTF
ZBTB24	dbTF
ZBTB25	dbTF
ZBTB26	dbTF
ZBTB3	dbTF
ZBTB32	dbTF
ZBTB33	dbTF
ZBTB34	dbTF
ZBTB37	dbTF
ZBTB38	dbTF
ZBTB39	dbTF
ZBTB4	dbTF
ZBTB40	dbTF
ZBTB41	dbTF
ZBTB42	dbTF
ZBTB43	dbTF
ZBTB44	dbTF
ZBTB45	dbTF
ZBTB46	dbTF
ZBTB47	dbTF
ZBTB48	dbTF
ZBTB49	dbTF
ZBTB5	dbTF
ZBTB6	dbTF
ZBTB7A	dbTF
ZBTB7B	dbTF
ZBTB7C	dbTF
ZBTB8A	dbTF
ZBTB8B	dbTF
ZBTB9	dbTF
ZC3H8	dbTF
ZEB1	dbTF
ZEB2	dbTF
ZFAT	dbTF
ZFHX2	dbTF
ZFHX3	dbTF
ZFHX4	dbTF
ZFP1	dbTF
Zfp11	dbTF
Zfp120	dbTF
ZFP14	dbTF
ZFP2	dbTF
ZFP28	dbTF
ZFP3	dbTF
ZFP30	dbTF
ZFP37	dbTF
ZFP41	dbTF
ZFP42	dbTF
Zfp54	dbTF
ZFP57	dbTF
Zfp58	dbTF
ZFP62	dbTF
ZFP64	dbTF
ZFP69	dbTF
ZFP69B	dbTF
Zfp809	dbTF
ZFP82	dbTF
ZFP90	dbTF
ZFP91	dbTF
ZFP92	dbTF
ZFPM1	dbTF
ZFPM2	dbTF
ZFX	dbTF
ZFY	dbTF
Zfy1	dbTF
Zfy2	dbTF
ZGLP1	dbTF
ZGPAT	dbTF
ZHX1	dbTF
ZHX2	dbTF
ZHX3	dbTF
ZIC1	dbTF
ZIC2	dbTF
ZIC3	dbTF
ZIC4	dbTF
ZIC5	dbTF
ZIK1	dbTF
ZIM2	dbTF
ZIM3	dbTF
ZKSCAN1	dbTF
ZKSCAN2	dbTF
ZKSCAN3	dbTF
