#: :filename=/home/mvazque2/.rbbt/tmp/tmp-337667186.1761_TFs#:type=:double
#Associated.Gene.Name	TF_type
ZNF493	dbTF
ZNF496	dbTF
ZNF497	dbTF
ZNF500	dbTF
ZNF501	dbTF
ZNF502	dbTF
ZNF506	dbTF
ZNF507	dbTF
ZNF510	dbTF
ZNF511	dbTF
ZNF512	dbTF
ZNF512B	dbTF
ZNF513	dbTF
ZNF514	dbTF
ZNF516	dbTF
ZNF517	dbTF
ZNF518A	dbTF
ZNF518B	dbTF
ZNF519	dbTF
ZNF521	dbTF
ZNF524	dbTF
ZNF525	dbTF
ZNF526	dbTF
ZNF527	dbTF
ZNF528	dbTF
ZNF529	dbTF
ZNF530	dbTF
ZNF532	dbTF
ZNF534	dbTF
ZNF536	dbTF
ZNF540	dbTF
ZNF541	dbTF
ZNF542P	dbTF
ZNF543	dbTF
ZNF544	dbTF
ZNF546	dbTF
ZNF547	dbTF
ZNF548	dbTF
ZNF549	dbTF
ZNF550	dbTF
ZNF551	dbTF
ZNF552	dbTF
ZNF554	dbTF
ZNF555	dbTF
ZNF556	dbTF
ZNF557	dbTF
ZNF558	dbTF
ZNF559	dbTF
ZNF560	dbTF
ZNF561	dbTF
ZNF562	dbTF
ZNF563	dbTF
ZNF564	dbTF
ZNF565	dbTF
ZNF566	dbTF
ZNF567	dbTF
ZNF568	dbTF
ZNF569	dbTF
ZNF57	dbTF
ZNF570	dbTF
ZNF571	dbTF
ZNF572	dbTF
ZNF573	dbTF
ZNF574	dbTF
ZNF575	dbTF
ZNF576	dbTF
ZNF577	dbTF
ZNF578	dbTF
ZNF579	dbTF
ZNF580	dbTF
ZNF581	dbTF
ZNF582	dbTF
ZNF583	dbTF
ZNF584	dbTF
ZNF585A	dbTF
ZNF585B	dbTF
ZNF586	dbTF
ZNF587	dbTF
ZNF587B	dbTF
ZNF589	dbTF
ZNF592	dbTF
ZNF594	dbTF
ZNF595	dbTF
ZNF596	dbTF
ZNF597	dbTF
ZNF599	dbTF
ZNF600	dbTF
ZNF605	dbTF
ZNF606	dbTF
ZNF607	dbTF
ZNF610	dbTF
ZNF611	dbTF
ZNF613	dbTF
ZNF614	dbTF
ZNF615	dbTF
ZNF616	dbTF
ZNF618	dbTF
ZNF619	dbTF
ZNF620	dbTF
ZNF621	dbTF
ZNF623	dbTF
ZNF624	dbTF
ZNF625	dbTF
ZNF626	dbTF
ZNF627	dbTF
ZNF628	dbTF
ZNF629	dbTF
ZNF630	dbTF
ZNF639	dbTF
ZNF641	dbTF
ZNF644	dbTF
ZNF646	dbTF
ZNF648	dbTF
ZNF649	dbTF
ZNF652	dbTF
ZNF653	dbTF
ZNF654	dbTF
ZNF655	dbTF
ZNF658	dbTF
ZNF658B	dbTF
ZNF66	dbTF
ZNF660	dbTF
ZNF662	dbTF
ZNF664	dbTF
ZNF665	dbTF
ZNF667	dbTF
ZNF668	dbTF
ZNF669	dbTF
ZNF670	dbTF
ZNF671	dbTF
ZNF672	dbTF
ZNF674	dbTF
ZNF675	dbTF
ZNF676	dbTF
ZNF677	dbTF
ZNF678	dbTF
ZNF679	dbTF
ZNF680	dbTF
ZNF681	dbTF
ZNF682	dbTF
ZNF683	dbTF
ZNF684	dbTF
ZNF687	dbTF
ZNF688	dbTF
ZNF689	dbTF
ZNF69	dbTF
ZNF691	dbTF
ZNF692	dbTF
ZNF695	dbTF
ZNF696	dbTF
ZNF697	dbTF
ZNF699	dbTF
ZNF7	dbTF
ZNF70	dbTF
ZNF700	dbTF
ZNF701	dbTF
ZNF702P	dbTF
ZNF704	dbTF
ZNF705A	dbTF
ZNF705B	dbTF
ZNF705D	dbTF
ZNF705E	dbTF
ZNF705EP	dbTF
ZNF705G	dbTF
ZNF707	dbTF
ZNF708	dbTF
ZNF709	dbTF
ZNF71	dbTF
ZNF710	dbTF
ZNF711	dbTF
ZNF713	dbTF
ZNF714	dbTF
ZNF716	dbTF
ZNF717	dbTF
ZNF718	dbTF
ZNF721	dbTF
ZNF722	dbTF
ZNF723	dbTF
ZNF724	dbTF
ZNF726	dbTF
ZNF726P1	dbTF
ZNF727	dbTF
ZNF728	dbTF
ZNF729	dbTF
ZNF730	dbTF
ZNF732	dbTF
ZNF735	dbTF
ZNF736	dbTF
ZNF737	dbTF
ZNF74	dbTF
ZNF740	dbTF
ZNF746	dbTF
ZNF747	dbTF
ZNF749	dbTF
ZNF750	dbTF
ZNF75A	dbTF
ZNF75CP	dbTF
ZNF75D	dbTF
ZNF76	dbTF
ZNF761	dbTF
ZNF763	dbTF
ZNF764	dbTF
ZNF765	dbTF
ZNF766	dbTF
ZNF768	dbTF
ZNF77	dbTF
ZNF770	dbTF
ZNF771	dbTF
ZNF772	dbTF
ZNF773	dbTF
ZNF774	dbTF
ZNF775	dbTF
ZNF776	dbTF
ZNF777	dbTF
ZNF778	dbTF
ZNF780A	dbTF
ZNF780B	dbTF
ZNF781	dbTF
ZNF782	dbTF
ZNF783	dbTF
ZNF784	dbTF
ZNF785	dbTF
ZNF786	dbTF
ZNF787	dbTF
ZNF788P	dbTF
ZNF789	dbTF
ZNF79	dbTF
ZNF790	dbTF
ZNF791	dbTF
ZNF792	dbTF
ZNF793	dbTF
ZNF799	dbTF
ZNF8	dbTF
ZNF80	dbTF
ZNF800	dbTF
ZNF805	dbTF
ZNF808	dbTF
ZNF81	dbTF
ZNF813	dbTF
ZNF814	dbTF
ZNF816	dbTF
ZNF818P	dbTF
ZNF821	dbTF
ZNF823	dbTF
ZNF826P	dbTF
ZNF829	dbTF
ZNF83	dbTF
ZNF833P	dbTF
ZNF835	dbTF
ZNF836	dbTF
ZNF837	dbTF
ZNF84	dbTF
ZNF840P	dbTF
ZNF841	dbTF
ZNF844	dbTF
ZNF845	dbTF
ZNF846	dbTF
ZNF85	dbTF
ZNF850	dbTF
ZNF852	dbTF
ZNF853	dbTF
ZNF860	dbTF
ZNF861P	dbTF
ZNF865	dbTF
ZNF875	dbTF
ZNF876P	dbTF
ZNF878	dbTF
ZNF879	dbTF
ZNF880	dbTF
ZNF883	dbTF
ZNF888	dbTF
ZNF891	dbTF
ZNF892	dbTF
ZNF90	dbTF
ZNF91	dbTF
ZNF92	dbTF
ZNF93	dbTF
ZNF98	dbTF
ZNF99	dbTF
ZSCAN1	dbTF
ZSCAN10	dbTF
ZSCAN12	dbTF
ZSCAN16	dbTF
ZSCAN18	dbTF
ZSCAN2	dbTF
ZSCAN20	dbTF
ZSCAN21	dbTF
ZSCAN22	dbTF
ZSCAN23	dbTF
ZSCAN25	dbTF
ZSCAN26	dbTF
ZSCAN29	dbTF
ZSCAN30	dbTF
ZSCAN31	dbTF
ZSCAN32	dbTF
ZSCAN4	dbTF
ZSCAN5A	dbTF
ZSCAN5B	dbTF
ZSCAN5C	dbTF
ZSCAN5DP	dbTF
ZSCAN9	dbTF
ZXDA	dbTF
ZXDB	dbTF
ZXDC	dbTF
CTNNB1	coTF
SIRT1	coTF
EZH2	coTF
EP300	coTF
YAP1	coTF
HDAC9	coTF
JUP	coTF
PPARGC1A	coTF
HMGB1	coTF
RB1	coTF
HDAC1	coTF
CREBBP	coTF
WNT3A	coTF
HDAC3	coTF
KDM1A	coTF
SMARCA4	coTF
BRD4	coTF
VHL	coTF
SIRT6	coTF
NR0B2	coTF
SMAD7	coTF
DNMT3B	coTF
PARK7	coTF
APEX1	coTF
HDAC4	coTF
PRMT5	coTF
ID1	coTF
PIN1	coTF
SQSTM1	coTF
CCND1	coTF
EWSR1	coTF
MUC1	coTF
NPM1	coTF
ARRB1	coTF
RUNX1T1	coTF
MTDH	coTF
DNMT3A	coTF
KAT2B	coTF
PML	coTF
SF1	coTF
CRTC2	coTF
COPS5	coTF
NCOR1	coTF
TET2	coTF
PER2	coTF
FUS	coTF
FHL2	coTF
ID2	coTF
MYOCD	coTF
TRIB3	coTF
DDX5	coTF
LIN28A	coTF
TRIM28	coTF
KAT5	coTF
SMARCB1	coTF
BTG2	coTF
ZNF645	coTF
NCOR2	coTF
CTBP1	coTF
BCL3	coTF
MTA1	coTF
PIAS3	coTF
KAT2A	coTF
ING4	coTF
HIPK2	coTF
ID3	coTF
CIITA	coTF
ARID1A	coTF
DAXX	coTF
CBFB	coTF
SIN3A	coTF
SIRT7	coTF
SETDB1	coTF
NRIP1	coTF
MED1	coTF
PHB	coTF
NFKBIZ	coTF
TTF1	coTF
LIN28B	coTF
CTBP2	coTF
WNT4	coTF
PPARGC1B	coTF
CARM1	coTF
UBE3A	coTF
DOT1L	coTF
CRTC1	coTF
USP22	coTF
HIPK3	coTF
KDM2B	coTF
KDM3A	coTF
BCL10	coTF
SMYD3	coTF
CITED2	coTF
PIAS4	coTF
NONO	coTF
HDAC7	coTF
MBD3	coTF
HSPA1B	coTF
TRIM25	coTF
TRIM21	coTF
ZC3H4	coTF
MTA3	coTF
NME2	coTF
SUFU	coTF
DYRK1B	coTF
HCFC1	coTF
IFI16	coTF
MBD2	coTF
TGFB1I1	coTF
DHX9	coTF
JARID2	coTF
C1QBP	coTF
PAWR	coTF
DYRK1A	coTF
SMARCA2	coTF
CCAR2	coTF
BIRC2	coTF
SFPQ	coTF
SRA1	coTF
RAG1	coTF
PA2G4	coTF
ID4	coTF
KDM5D	coTF
KDM3B	coTF
HSPA1A	coTF
TFAM	coTF
PIAS1	coTF
NFKBIB	coTF
CPEB1	coTF
CEBPZ	coTF
SIAH2	coTF
POU2AF1	coTF
NAB2	coTF
AIP	coTF
SMAD6	coTF
TRIM27	coTF
AIM2	coTF
SRSF2	coTF
PBRM1	coTF
LMO2	coTF
MED12	coTF
NCOA4	coTF
PCGF2	coTF
SND1	coTF
PSIP1	coTF
HMGB2	coTF
TOB1	coTF
JAZF1	coTF
NCOA6	coTF
KDM5C	coTF
TRIM32	coTF
NUPR1	coTF
KDM5A	coTF
KAT8	coTF
TP53BP1	coTF
HNRNPU	coTF
TRIM14	coTF
LDB1	coTF
BRD7	coTF
CHD4	coTF
CBX4	coTF
BTG1	coTF
DR1	coTF
ASXL1	coTF
HTATIP2	coTF
RBBP8	coTF
SIN3B	coTF
PIAS2	coTF
ING5	coTF
GMNN	coTF
